# Mn1, Mn2, Mch1, Mch2, N_Phases, N_Transitions, Trans_Type, Tcrit, Tnuc, high_H10, high_H20, high_H21, high_H30, high_H31, low_H10, low_H20, low_H21, low_H30, low_H31, Delta_E, Action, Action/Tnuc, Beta, Alpha, V_Jouget, Wall_speed, kcol, kf, fpeak_col, peak_col, fpeak_sw, peak_sw, fpeak_turb, peak_turb
1.870828693386970665e+00,2.549509756796392246e+00,1.369306393762915297e+00,1.695582495781317034e+00,1.000000000000000000e+01,-2.999999999999999112e+00,4.750000000000000000e+00,-1.000000000000000000e+00,-7.835143513206169869e-05,1.234829830596376350e-04,1.137481068355157175e-04,-5.714049115564966467e-05,8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.528787911188618409e+02,1.528719568230803532e+02,1.883035479155313217e-05,-3.078858231252151832e-03,-1.211524882192779179e-03,-7.162248420514898475e-05,-7.897501715670499339e-04,1.313599213446119407e+01,1.313857531087426267e+01,5.270057190900347133e-02,1.286743309236284816e+01,2.598867897247541386e-02,4.592974343809127808e+06,2.011511787844479477e+04,1.315814770509161633e+02,5.455720399280289188e+06,5.423075815658896266e-05,5.833316854553328712e-01,9.499999999999999556e-01,1.374900842748001889e-03,7.422105116355724340e-05,3.307952212568246068e+03,2.176261732972698779e-34,1.686311905038456018e+02,7.314082649977452605e-30,2.396337970317805599e+00,2.989303449188007718e-39
2.549509756796392246e+00,1.870828693386970665e+00,1.369306393762915297e+00,1.695582495781317034e+00,1.000000000000000000e+01,2.999999999999999112e+00,4.750000000000000000e+00,-1.000000000000000000e+00,-7.835143513206169869e-05,1.234829830596376350e-04,1.137481068355157175e-04,-5.714049115564966467e-05,8.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.528787911188618409e+02,1.528719568230803532e+02,1.883035479155313217e-05,-3.078858231252151832e-03,-1.211524882192779179e-03,-7.162248420514898475e-05,-7.897501715670499339e-04,1.313599213446119407e+01,1.313857531087426267e+01,5.270057190900347133e-02,1.286743309236284816e+01,2.598867897247541386e-02,4.592974343809127808e+06,2.011511787844479477e+04,1.315814770509161633e+02,5.455720399280289188e+06,5.423075815658896266e-05,5.833316854553328712e-01,9.499999999999999556e-01,1.374900842748001889e-03,7.422105116355724340e-05,3.307952212568246068e+03,2.176261732972698779e-34,1.686311905038456018e+02,7.314082649977452605e-30,2.396337970317805599e+00,2.989303449188007718e-39
2.738612787525830594e+00,1.581138830084189761e+00,7.905694150420948807e-01,1.274754878398196123e+00,1.000000000000000000e+01,5.000000000000000000e+00,2.250000000000000000e+00,-9.999999999999996669e-01,-3.711383769413448600e-05,2.034263167525416900e-04,9.692709989097766671e-05,-5.714049115564964434e-05,1.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.504548551707189006e+02,1.530840818023505108e+02,-4.204244155067080589e-04,-2.521231611184232210e-04,1.689081936728052268e-04,3.167396294977676782e-05,9.953195667262686587e-05,1.310116561207827246e+01,1.310392119387054422e+01,-3.913649551981970842e-02,1.281719383566533565e+01,-2.810629355632844606e-02,4.579597645435333252e+06,2.185278462702495744e+04,1.427502087071303833e+02,6.312232806456916966e+06,-3.906008154715013752e-07,nan,9.499999999999999556e-01,nan,nan,3.832589795506393330e+03,nan,1.953759118628136662e+02,nan,2.776394536997877971e+00,nan
2.738612787525830594e+00,1.581138830084189761e+00,1.274754878398196123e+00,7.905694150420948807e-01,1.000000000000000000e+01,5.000000000000000000e+00,2.250000000000000000e+00,9.999999999999996669e-01,-3.711383769413448600e-05,2.034263167525416900e-04,9.692709989097766671e-05,5.714049115564964434e-05,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.349543865983310553e+00,9.508626110114233754e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.778279410038923061e+02,-2.999999999999985789e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.649503897517088304e-05,2.953667807198411075e-03,4.328097144965232027e-03,5.714049115564966467e-05,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.529028942441534014e+02,1.528961886206815848e+02,5.289994603228482910e-03,1.825919220305223674e-04,5.627031725539449920e-04,-9.706476766065243265e-04,1.287365561939751192e-03,1.304475722345742206e+01,1.304479906150474378e+01,3.876550531319481016e-04,1.301616696755841751e+01,6.870591711387917869e-03,4.588406392379760742e+06,2.067962339687426356e+04,1.352527069734753695e+02,5.723409849980439991e+06,5.417175810819300276e-05,5.833284479588726201e-01,9.499999999999999556e-01,1.374131703402203461e-03,7.414034252174110488e-05,3.470809706423073749e+03,1.970943458516144777e-34,1.769332611827598498e+02,6.941713045847470940e-30,2.514314764176060368e+00,2.704419477641118490e-39
9.349543865983310553e+00,9.508626110114233754e+00,1.118033988749894903e+00,1.500000000000000000e+00,1.778279410038923061e+02,-2.999999999999985789e+00,3.500000000000000000e+00,-9.999999999999997780e-01,-5.773263641309809235e-05,2.912430209760484296e-03,4.286859547527304380e-03,-5.714049115564965111e-05,4.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,1.522515741756976695e+02,1.522445323622495721e+02,1.598253739548011480e-04,1.268230494127534861e-04,1.549443294619944284e-03,-6.767152351773891069e-04,-2.447994862086983175e-03,1.313380638940649803e+01,1.313182353644535283e+01,-4.713503109769459978e-03,1.310090248838772808e+01,-2.390841217871891855e-03,4.603959966720581055e+06,2.047668031096046252e+04,1.344986252920951699e+02,5.365745153530144133e+06,5.524434506828407472e-05,5.833870283530470102e-01,9.499999999999999556e-01,1.388053002459673294e-03,7.560756861831680259e-05,3.240045012782210051e+03,2.379622251544576821e-34,1.651694500650950488e+02,8.008325113947814851e-30,2.347144816714508586e+00,3.327927822222190204e-39
9.349543865983310553e+00,9.508626110114233754e+00,1.500000000000000000e+00,1.118033988749894903e+00,1.778279410038923061e+02,-2.999999999999985789e+00,3.500000000000000000e+00,9.999999999999997780e-01,-5.773263641309809235e-05,2.912430209760484296e-03,4.286859547527304380e-03,5.714049115564965111e-05,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.522515741044509525e+02,1.522444407168173370e+02,3.369406803771143964e-03,2.588495068164248887e-04,-2.734456248802940616e-03,5.260735410969753344e-04,-1.838546886971141429e-03,1.313475835810314507e+01,1.313524462902635292e+01,1.302101050619209471e-02,1.310703108711796716e+01,6.124006918120637223e-03,4.606408869682312012e+06,1.999483978100826425e+04,1.313337924647095463e+02,5.169280808940881863e+06,5.524536464235166343e-05,5.833870837633280404e-01,9.499999999999999556e-01,1.388066174631301473e-03,7.560896331572032256e-05,3.121410343459418982e+03,2.564083285135247754e-34,1.591217491802626398e+02,8.313304051862203929e-30,2.261203804140574203e+00,3.585962837026811662e-39
9.349543865983310553e+00,9.508626110114233754e+00,1.369306393762915297e+00,1.695582495781317034e+00,1.778279410038923061e+02,-2.999999999999985789e+00,4.750000000000000000e+00,-1.000000000000000000e+00,-7.835143513206169869e-05,2.891811411041520039e-03,4.266240748808340991e-03,-5.714049115564966467e-05,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.521768346462232557e+02,1.521700684604293485e+02,-9.757656028286580512e-04,3.407288227374230516e-04,2.311302332576868276e-03,-3.340874761737865463e-04,-2.657312073182141986e-03,1.313106524629882088e+01,1.313063666678043262e+01,1.356286070986931214e-02,1.309876344353259370e+01,8.556603070539708922e-03,4.597321161233901978e+06,2.224379395494632263e+04,1.461771962120832598e+02,6.079226209022991359e+06,5.536817125045389709e-05,5.833937540968532343e-01,9.499999999999999556e-01,1.389651909532059471e-03,7.577695298158877105e-05,3.669077093304224491e+03,1.866448657013746475e-34,1.870404402891645361e+02,7.132006963831097379e-30,2.657943098846021535e+00,2.615927476595855570e-39
9.349543865983310553e+00,9.508626110114233754e+00,1.695582495781317034e+00,1.369306393762915297e+00,1.778279410038923061e+02,-2.999999999999985789e+00,4.750000000000000000e+00,1.000000000000000000e+00,-7.835143513206169869e-05,2.891811411041520039e-03,4.266240748808340991e-03,5.714049115564966467e-05,5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.521768346524627304e+02,1.521695499871157438e+02,-1.684494709515282386e-03,4.401768010568122679e-05,-2.437786110106363643e-03,-1.237735796872444123e-03,3.174677732022382695e-03,1.314975911168907530e+01,1.314961293029431211e+01,-5.887746664646986879e-03,1.311995998310857203e+01,7.114794784175535076e-03,4.611036836860656738e+06,1.941438216541185830e+04,1.275838836814308905e+02,4.908138872135604732e+06,5.536784375344712937e-05,5.833937363185546232e-01,9.499999999999999556e-01,1.389647682952334156e-03,7.577650499213781543e-05,2.962264921451499504e+03,2.863328603586912171e-34,1.510089107074248886e+02,8.833502732789061999e-30,2.145916099526564480e+00,4.013084920675759669e-39
9.508626110114233754e+00,9.349543865983310553e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.778279410038923061e+02,2.999999999999985789e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.649503897517088304e-05,2.953667807198411075e-03,4.328097144965232027e-03,5.714049115564966467e-05,3.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.529028942441534014e+02,1.528961886206815848e+02,5.289994603228482910e-03,1.825919220305223674e-04,5.627031725539449920e-04,-9.706476766065243265e-04,1.287365561939751192e-03,1.304475722345742206e+01,1.304479906150474378e+01,3.876550531319481016e-04,1.301616696755841751e+01,6.870591711387917869e-03,4.588406392379760742e+06,2.067962339687426356e+04,1.352527069734753695e+02,5.723409849980439991e+06,5.417175810819300276e-05,5.833284479588726201e-01,9.499999999999999556e-01,1.374131703402203461e-03,7.414034252174110488e-05,3.470809706423073749e+03,1.970943458516144777e-34,1.769332611827598498e+02,6.941713045847470940e-30,2.514314764176060368e+00,2.704419477641118490e-39
